County,Male,Female,Population_2019,Land_Area_SqKm,Population_Density
Mombasa,610257,598046,1208333,219.9,5495
Kwale,425121,441681,866820,8267.1,105
Kilifi,704089,749673,1453787,12539.7,116
Tana River,158550,157391,315943,37950.5,8
Lamu,76103,67813,143920,6253.3,23
Taita/Taveta,173337,167327,340671,17152.0,20
Garissa,458975,382344,841353,44736.0,19
Wajir,415374,365840,781263,56773.1,14
Mandera,434976,432444,867457,25939.8,33
Marsabit,243548,216219,459785,70944.1,6
Isiolo,139510,128483,268002,25350.6,11
Meru,767698,777975,1545714,7006.3,221
Tharaka-Nithi,193764,199406,393177,2564.4,153
Embu,304208,304367,608599,2820.7,216
Kitui,549003,587151,1136187,30429.5,37
Machakos,710707,711191,1421932,6042.7,235
Makueni,489691,497942,987653,8169.8,121
Nyandarua,315022,323247,638289,3285.7,194
Nyeri,374288,384845,759164,3325.0,228
Kirinyaga,302011,308369,610411,1478.3,413
Murang'a,523940,532669,1056640,2524.2,419
Kiambu,1187146,1230454,2417735,2538.6,952
Turkana,478087,448868,926976,68232.9,14
West Pokot,307013,314213,621241,9123.2,68
Samburu,156774,153546,310327,21065.1,15
Trans Nzoia,489107,501206,990341,2495.2,397
Uasin Gishu,580269,582889,1163186,3392.2,343
Elgeyo/Marakwet,227317,227151,454480,3032.0,150
Nandi,441259,444430,885711,2855.8,310
Baringo,336322,330428,666763,10976.4,61
Laikipia,259440,259102,518560,9532.2,54
Nakuru,1077272,1084835,2162202,7462.4,290
Narok,579042,578805,1157873,17950.3,65
Kajiado,557098,560704,1117840,21871.1,51
Kericho,450741,451008,901777,2436.1,370
Bomet,434287,441379,875689,2530.9,346
Kakamega,897133,970406,1867579,3020.0,618
Vihiga,283678,306323,590013,563.8,1047
Bungoma,812146,858389,1670570,3023.9,552
Busia,426252,467401,893681,1696.3,527
Siaya,471669,521496,993183,2529.8,393
Kisumu,560942,594609,1155574,2085.4,554
Homa Bay,539560,592367,1131950,3152.5,359
Migori,536187,580214,1116436,2613.5,427
Kisii,605784,661038,1266860,1323.0,958
Nyamira,290907,314656,605576,897.3,675
Nairobi City,2192452,2204376,4397073,703.9,6247
